iter	Logloss
0	0.62738635
1	0.5744795274
2	0.5326179587
3	0.5014495649
4	0.4785092531
5	0.4601651551
6	0.4457371205
7	0.4338421698
8	0.4246988348
9	0.4175180632
10	0.4118642019
11	0.4073976747
12	0.4038063197
13	0.4005905096
14	0.3986115355
15	0.3965950496
16	0.3949426864
17	0.3936613556
18	0.3925474278
19	0.3917470954
20	0.3907936045
21	0.3901324574
22	0.3896055645
23	0.3890905393
24	0.388644435
25	0.3882838596
26	0.3878815823
27	0.3876214953
28	0.3874398866
29	0.3871643325
30	0.3869745051
31	0.3868125166
32	0.38668495
33	0.3865533796
34	0.3864484055
35	0.3863305153
36	0.3862314402
37	0.386161482
38	0.3860825806
39	0.386017442
40	0.3859415648
41	0.3858894005
42	0.3858244982
43	0.3857632782
44	0.3857238889
45	0.3856713303
46	0.3856384458
47	0.3855844391
48	0.3855432703
49	0.3855109156
50	0.3854700199
51	0.3854379511
52	0.3854055252
53	0.3853725269
54	0.3853330223
55	0.3853044253
56	0.3852806875
57	0.3852443457
58	0.38522349
59	0.3851845221
60	0.385147675
61	0.3851170285
62	0.3850876073
63	0.3850574533
64	0.3850411556
65	0.3850256636
66	0.3850064667
67	0.384978286
68	0.3849546513
69	0.3849347038
70	0.3849137644
71	0.3848952318
72	0.3848646793
73	0.3848444208
74	0.3848279263
75	0.384810259
76	0.3847915608
77	0.3847731436
78	0.38475007
79	0.3847288864
80	0.3847086164
81	0.3846998839
82	0.3846860391
83	0.3846619945
84	0.3846427125
85	0.3846228498
86	0.3846071805
87	0.3845763117
88	0.384562812
89	0.3845491797
90	0.3845287433
91	0.3845182999
92	0.3845068756
93	0.3844917149
94	0.3844690435
95	0.3844506528
96	0.3844387356
97	0.3844163884
98	0.3844036972
99	0.3843894885
