iter	Passed	Remaining
0	27	2763
1	58	2858
2	88	2871
3	120	2891
4	153	2915
5	182	2861
6	208	2773
7	235	2712
8	261	2648
9	284	2564
10	306	2483
11	331	2427
12	355	2376
13	379	2328
14	401	2275
15	423	2225
16	446	2178
17	470	2141
18	493	2105
19	517	2071
20	544	2047
21	573	2034
22	603	2021
23	634	2009
24	665	1997
25	694	1977
26	725	1961
27	757	1947
28	787	1928
29	816	1904
30	840	1871
31	865	1839
32	894	1816
33	924	1793
34	951	1766
35	974	1731
36	1001	1705
37	1025	1673
38	1051	1644
39	1074	1612
40	1101	1585
41	1128	1557
42	1159	1537
43	1185	1509
44	1211	1481
45	1240	1455
46	1267	1428
47	1296	1404
48	1322	1376
49	1348	1348
50	1377	1323
51	1404	1296
52	1433	1271
53	1462	1246
54	1489	1218
55	1514	1190
56	1543	1164
57	1571	1138
58	1596	1109
59	1624	1083
60	1651	1055
61	1679	1029
62	1711	1005
63	1741	979
64	1773	954
65	1802	928
66	1829	901
67	1863	876
68	1890	849
69	1919	822
70	1945	794
71	1970	766
72	1994	737
73	2018	709
74	2041	680
75	2065	652
76	2091	624
77	2118	597
78	2146	570
79	2209	552
80	2238	525
81	2268	497
82	2294	469
83	2325	442
84	2355	415
85	2381	387
86	2406	359
87	2431	331
88	2452	303
89	2475	275
90	2500	247
91	2528	219
92	2555	192
93	2581	164
94	2607	137
95	2634	109
96	2658	82
97	2683	54
98	2709	27
99	2733	0
